YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate,Manual_Foot,Manual_Contact_Time,Manual_Start_Time
l,166.7500416875105,0.0667000166750041,1.0,l,0.0700000000000002,4.0,204.0,11.0,0.0,178.8376,0.6670001667500417,179.91,,,,l,0.1667500416875105,0.0667000166750041
r,166.7500416875104,0.383525095881274,1.0,r,0.3900000000000005,3.0,306.0,1.0,0.0,225.1407,0.6503251625812907,184.5230769230769,,,,r,0.1667500416875104,0.383525095881274
l,166.7500416875105,0.7337001834250458,2.0,l,0.7409999999999997,5.0,218.0,9.0,0.0,165.9751,0.6670001667500418,179.90999999999997,0.0,0.0,0.0,l,0.1667500416875105,0.7337001834250458
r,183.4250458562614,1.0338502584625646,2.0,r,0.9230000000000018,4.0,207.0,11.0,0.0,180.1802,0.7170251792562949,167.3581395348837,0.0,0.0,0.0,r,0.1834250458562614,1.0338502584625646
l,200.1000500250125,1.4007003501750876,3.0,l,1.4639999999999986,6.0,231.0,7.0,0.0,170.9402,0.7003501750875438,171.34285714285713,0.0,0.0,0.0,l,0.2001000500250125,1.4007003501750876
r,200.1000500250125,1.7508754377188596,3.0,r,1.5890000000000022,5.0,213.0,15.0,0.0,165.2893,0.7170251792562947,167.35813953488375,0.0,0.0,0.0,r,0.2001000500250125,1.7508754377188596
l,216.7750541937634,2.1010505252626315,4.0,l,2.165999999999997,7.0,211.0,10.0,0.0,169.2525,0.7003501750875447,171.3428571428569,0.0,0.0,0.0,l,0.2167750541937634,2.1010505252626315
r,200.1000500250125,2.4679006169751543,4.0,r,2.3150000000000013,6.0,215.0,13.0,0.0,168.0672,0.6836751709187929,175.52195121951215,0.0,0.0,0.0,r,0.2001000500250125,2.4679006169751543
l,200.1000500250116,2.801400700350176,5.0,l,2.875,8.0,218.0,7.0,0.0,167.8322,0.7170251792562938,167.35813953488395,0.0,0.0,0.0,l,0.200100050025012,2.801400700350176
r,200.1000500250129,3.151575787893947,5.0,r,3.029,7.0,231.0,9.0,0.0,174.6725,0.7003501750875438,171.34285714285713,0.0,0.0,0.0,r,0.2001000500250129,3.151575787893947
l,200.1000500250125,3.51842587960647,6.0,l,3.59,9.0,220.0,6.0,0.0,167.5978,0.7170251792562947,167.35813953488375,0.0,0.0,0.0,l,0.2001000500250125,3.51842587960647
r,200.100050025012,3.851925962981491,6.0,r,3.7159999999999975,8.0,211.0,9.0,0.0,166.205,0.7337001834250461,163.5545454545454,0.0,0.0,0.0,r,0.200100050025012,3.851925962981491
l,183.4250458562616,4.235451058862765,7.0,l,4.3060000000000045,10.0,228.0,5.0,0.0,167.364,0.7170251792562956,167.35813953488355,0.0,0.0,0.0,l,0.1834250458562616,4.235451058862765
r,200.1000500250125,4.585626146406537,7.0,r,4.437999999999999,9.0,233.0,6.0,0.0,169.4915,0.7003501750875429,171.34285714285733,0.0,0.0,0.0,r,0.2001000500250125,4.585626146406537
l,200.1000500250116,4.95247623811906,8.0,l,5.023000000000003,11.0,216.0,7.0,255.0,166.6667,0.7170251792562938,167.35813953488395,0.0,0.0,0.0,l,0.2001000500250116,4.95247623811906
r,216.7750541937643,5.28597632149408,8.0,r,5.145999999999997,10.0,234.0,8.0,0.0,165.7459,0.7170251792562956,167.35813953488355,0.0,0.0,0.0,r,0.2167750541937643,5.28597632149408
l,200.1000500250125,5.669501417375354,9.0,l,5.743000000000002,12.0,235.0,5.0,250.0,165.9751,0.7170251792562947,167.35813953488375,0.0,0.0,0.0,l,0.2001000500250125,5.669501417375354
r,200.1000500250125,6.003001500750376,9.0,r,5.870000000000001,11.0,223.0,7.0,201.0,168.0672,0.7503751875937965,159.92000000000007,0.0,0.0,0.0,r,0.2001000500250125,6.003001500750376
l,200.1000500250125,6.386526596631649,10.0,l,6.466000000000001,13.0,232.0,5.0,220.0,165.5172,0.7337001834250465,163.5545454545453,0.0,0.0,0.0,l,0.2001000500250125,6.386526596631649
r,200.1000500250125,6.753376688344172,10.0,r,6.584,12.0,225.0,7.0,223.0,167.5978,0.7170251792562947,167.35813953488375,0.0,0.0,0.0,r,0.2001000500250125,6.753376688344172
l,200.1000500250125,7.120226780056695,11.0,l,7.1910000000000025,14.0,225.0,6.0,218.0,167.5978,0.7170251792562947,167.35813953488375,0.0,0.0,0.0,l,0.2001000500250125,7.120226780056695
r,183.4250458562607,7.470401867600467,11.0,r,7.300000000000001,13.0,225.0,8.0,224.0,163.4877,0.7170251792562947,167.35813953488375,0.0,0.0,0.0,r,0.1834250458562607,7.470401867600467
l,200.1000500250125,7.83725195931299,12.0,l,7.907000000000004,15.0,230.0,5.0,227.0,165.0619,0.7170251792562947,167.35813953488375,0.0,0.0,0.0,l,0.2001000500250125,7.83725195931299
r,200.1000500250125,8.187427046856762,12.0,r,8.034000000000002,14.0,215.0,8.0,206.0,169.9717,0.7337001834250465,163.5545454545453,0.0,0.0,0.0,r,0.2001000500250125,8.187427046856762
l,200.1000500250125,8.554277138569285,13.0,l,8.634000000000007,16.0,234.0,4.0,222.0,166.8985,0.7337001834250465,163.5545454545453,0.0,0.0,0.0,l,0.2001000500250125,8.554277138569285
