time_sec,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,time_min,timestamp,foot
0.0,511.0,1.8017,170.2128,1.0883,230.0,34.6591,148.0,13.3177,11.5664,6.6016,13.0,-14.0156,931.3965,4.1304,65.2482,122.0,7.6417,12.6247,15.6554,42.6522,3.7241,0.5671,74.5609,42.1382,117.0,14.0,19.0,197.0,147.0,274.0,0.2539,4.75,8.0,-3.4922,42.75,58.9531,-0.1875,-5.7813,-10.4531,942.1997,706.604,21.0,0.5441,0.2656,4.0938,50.2344,9.341316666666664,564233.0,l
0.5519999999996799,502.0,,159.5745,,272.0,27.6596,0.0,13.1777,11.6719,6.1172,16.0,-8.125,924.3164,3.5294,72.3404,104.0,,,,36.0662,,,,,104.0,16.0,25.0,231.0,42.0,350.0,2.0742,5.1875,10.0625,-0.0039,41.5,69.5625,-2.8281,15.1406,9.6563,1094.7876,874.5728,20.5,,-6.125,-6.7656,67.4063,9.355516666666658,561436.0,r
0.7049999999999272,512.0,1.7754,168.0672,1.1343,253.0,29.1317,129.0,9.4829,8.25,4.6758,12.0,-15.6563,936.8286,3.6443,70.8683,104.0,5.344,10.9365,14.0921,38.7747,3.6829,0.5925,71.2818,40.0454,103.0,14.0,22.0,217.0,136.0,276.0,0.2852,3.4375,6.375,-2.625,42.75,70.3125,-2.3438,-1.0938,-11.9688,960.7544,690.0024,21.0,0.5671,-1.0469,5.5313,59.5781,9.353066666666663,564938.0,l
1.3039999999997465,503.0,,172.9107,,262.0,24.4957,0.0,12.3532,10.3789,6.6992,9.0,-14.5313,609.314,3.2977,75.5043,85.0,,,,37.4427,,,,,110.0,27.0,30.0,205.0,118.0,278.0,0.9648,4.3125,6.875,-0.0039,41.5,68.5156,3.0781,6.125,4.6875,640.1367,702.0264,20.5,,0.0625,13.0469,57.7188,9.368049999999991,562188.0,r
1.4189999999999827,513.0,1.7688,166.8985,1.1935,252.0,29.805,121.0,10.8643,9.0469,6.0156,10.0,-15.0156,1082.8857,3.7063,70.0974,107.0,5.3761,10.9751,14.0261,38.9286,3.6679,0.5788,70.9632,39.8421,95.0,20.0,22.0,210.0,141.0,280.0,0.2617,3.5625,6.4375,-2.3906,42.75,70.6094,-2.8906,-2.0313,-11.0781,1130.3101,692.1387,21.0,0.5967,-3.0938,9.3125,59.375,9.364966666666664,565652.0,l
1.9979999999997065,504.0,,165.2893,,258.0,28.9256,0.0,9.0347,7.5508,4.9609,7.0,-15.7813,590.5151,3.6279,71.0744,105.0,,,,38.0233,,,,,92.0,24.0,37.0,197.0,142.0,276.0,0.3555,3.4375,4.9375,-2.3125,41.5,69.75,5.75,11.1094,10.0,640.3809,694.5801,20.5,,2.75,16.0469,53.2188,9.379616666666658,562882.0,r
2.1380000000000337,514.0,1.9661,169.9717,1.3447,270.0,23.5127,136.0,9.7471,8.0391,5.5117,9.0,-14.9531,932.8003,3.2296,76.4873,83.0,2.8771,9.4822,13.7065,36.3333,4.1185,0.7257,74.5778,42.149,99.0,24.0,22.0,224.0,125.0,274.0,0.5078,3.125,4.3125,-2.3086,42.75,75.9531,-4.7031,-1.4531,-15.0469,966.8579,706.7261,21.0,0.6724,-1.0,11.6719,64.9063,9.376949999999995,566371.0,l
2.7239999999997053,505.0,1.3282,169.9717,0.8765,248.0,29.745,104.0,7.7054,6.7422,3.7305,7.0,-13.9844,524.1699,3.6935,70.255,105.0,7.0342,12.5552,14.5193,39.5565,2.7249,0.4457,63.826,35.2871,104.0,40.0,18.0,190.0,146.0,270.0,1.7656,2.875,4.0,-2.1055,41.75,70.0469,2.4531,12.2188,10.5313,564.5752,666.0156,20.5,0.4383,-0.3594,17.125,52.9375,9.391716666666658,563608.0,r
2.844000000000051,515.0,1.9727,169.7313,1.3973,262.0,25.779,149.0,11.1997,9.2539,6.3086,9.0,-13.9531,1151.7944,3.3969,74.116,91.0,3.3273,9.8857,13.9076,37.4427,4.1248,0.7059,75.1192,42.4945,97.0,22.0,20.0,220.0,139.0,270.0,0.0273,3.6875,5.8125,-2.0039,43.25,82.5,-6.5313,1.6094,-14.3438,1189.9414,641.1743,21.0,0.6987,-2.7031,11.4531,65.2188,9.388716666666664,567077.0,l
3.4299999999997226,506.0,1.4787,167.1309,1.0137,256.0,28.6908,85.0,10.2304,9.8008,2.9336,6.0,-17.4844,635.2539,3.6094,71.3092,103.0,5.8619,11.5301,13.8652,38.3203,3.0462,0.4899,65.2025,36.1656,98.0,28.0,24.0,204.0,146.0,268.0,0.5547,2.5,3.3125,-2.457,42.0,69.25,4.5313,9.6406,11.0625,813.7207,652.5879,20.5,0.5069,4.9375,19.1563,53.7656,9.403483333333323,564314.0,r
3.551000000000045,516.0,2.0384,165.2893,1.4664,260.0,28.3747,148.0,9.079,7.5313,5.0703,10.0,-14.3438,1067.1387,3.5846,71.6253,103.0,4.0597,9.6913,13.5138,37.7308,4.2695,0.67,74.9099,42.3609,90.0,22.0,21.0,217.0,135.0,283.0,0.5078,3.375,4.8125,-2.2578,43.25,81.3438,-6.2344,-2.4531,-18.8438,1084.8389,717.8345,21.0,0.7332,-1.5938,10.0313,65.5,9.400499999999996,567784.0,l
4.147999999999684,507.0,1.6594,169.9717,1.1643,245.0,30.5949,96.0,9.4474,8.3672,4.3867,9.0,-17.25,565.3076,3.7633,69.4051,108.0,5.6131,11.8583,14.6758,40.0408,3.4273,0.5519,70.3068,39.4232,112.0,14.0,38.0,193.0,141.0,270.0,0.9648,3.4375,5.0,-2.6953,42.0,70.8906,4.125,5.625,13.4219,663.4521,676.1475,20.5,0.5821,2.7188,12.2813,55.5625,9.415449999999993,565032.0,r
4.277000000000044,517.0,2.2193,168.3029,1.5946,258.0,27.5281,151.0,10.481,7.2852,7.5352,8.0,-14.0,1188.7817,3.5271,72.3703,98.0,3.3814,9.3714,13.9009,38.0233,4.6755,0.767,79.7352,45.4405,83.0,28.0,18.0,212.0,145.0,282.0,0.2148,3.9375,5.625,-2.1367,43.0,82.5781,-7.2656,-4.0781,-21.5313,1220.3369,699.1577,21.0,0.7973,-0.25,15.2656,67.4688,9.412599999999998,568510.0,l
4.853999999999701,508.0,1.7832,166.6667,1.2847,241.0,33.0556,107.0,11.9316,10.5078,5.6523,8.0,-17.0625,766.2964,3.9751,66.9444,119.0,6.1717,11.6815,14.6092,40.7054,3.6915,0.5532,72.066,40.5459,98.0,14.0,28.0,199.0,149.0,280.0,1.2969,3.375,5.0625,-2.9844,42.0,64.2969,7.0938,7.0625,18.8438,913.3301,620.0562,20.5,0.6423,4.2813,13.7813,50.375,9.427216666666656,565738.0,r
4.990000000000009,518.0,2.239,168.7764,1.5946,260.0,26.7606,151.0,9.863,7.6172,6.2656,9.0,-16.2344,1059.9976,3.4692,73.1364,95.0,3.1779,9.2032,13.8738,37.7308,4.7236,0.7864,80.2173,45.7482,93.0,20.0,20.0,220.0,137.0,278.0,0.1328,4.1875,5.0625,-2.668,42.5,81.9688,-8.1563,0.5,-20.5938,1103.0884,643.0054,21.0,0.7973,-0.2188,12.9531,70.2344,9.424483333333333,569223.0,l
5.573999999999728,509.0,2.0341,170.4545,1.452,249.0,29.2614,125.0,9.3274,8.1484,4.5391,7.0,-16.0469,691.3452,3.6546,70.7386,103.0,4.0998,10.5296,14.5173,39.3976,4.2477,0.6966,77.2871,43.8781,102.0,26.0,30.0,193.0,149.0,268.0,1.2383,2.5625,3.75,-1.9883,41.75,76.75,7.7188,8.2813,15.7188,776.062,681.5186,20.5,0.726,5.5313,18.6094,56.6875,9.439216666666658,566458.0,r
5.701000000000136,519.0,2.2258,170.4545,1.5847,270.0,23.2955,147.0,10.0167,8.4648,5.3555,7.0,-16.3125,910.5835,3.2148,76.7045,82.0,2.3835,8.711,13.7665,36.3333,4.7091,0.8319,80.127,45.6906,93.0,32.0,22.0,216.0,123.0,282.0,0.8438,3.25,3.375,-2.1133,42.5,82.9531,-9.2188,-0.5469,-24.0938,961.0596,742.1875,21.0,0.7924,-0.6094,17.6406,69.25,9.436333333333332,569934.0,l
6.277999999999793,510.0,2.1311,167.5978,1.5155,259.0,27.6536,131.0,9.3084,8.1953,4.4141,6.0,-16.1094,566.7725,3.529,72.3464,99.0,3.6301,9.5463,13.788,37.8764,4.4768,0.7269,77.5916,44.0725,94.0,30.0,30.0,199.0,145.0,270.0,0.4805,2.8125,3.4375,-1.9492,41.75,71.25,7.3594,1.1719,15.5156,689.8804,670.6543,20.5,0.7578,6.0781,19.9688,56.4531,9.450949999999992,567162.0,r
6.405000000000086,520.0,2.2489,170.2128,1.5979,272.0,22.7273,159.0,7.7753,6.4063,4.4063,8.0,-15.5625,699.0967,3.1838,77.1631,80.0,2.2501,8.5334,13.6922,36.0662,4.7657,0.8474,80.5515,45.9615,93.0,28.0,24.0,220.0,129.0,274.0,0.0039,3.1875,4.1875,-2.0625,42.5,81.4531,-7.9219,1.7344,-19.4531,726.9897,664.1235,21.0,0.7989,-0.9844,15.5313,68.7031,9.448066666666666,570638.0,l
