Unnamed: 0,time_sec,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,time_min,timestamp,foot
0,0.0500000000000007,7.0,0.9596,176.4706,1.1037,237.0,30.2941,105.0,11.5768,10.5039,4.8672,6.0,-3.9531,246.1548,3.7384,69.7059,103.0,5.3869,14.5969,15.7584,41.3924,1.9557,0.338,59.3562,32.4344,113.0,34.0,24.0,179.0,149.0,269.0,2.4688,3.0,6.875,-2.5039,10.75,100.0625,-1.2656,5.5313,1.3281,711.4258,1032.1655,24.5,0.5518,3.875,19.5938,72.0938,0.1460833333333333,9527.0,l
1,0.35,3.0,0.6628,158.5205,1.2412,181.0,52.1164,70.0,14.0455,3.332,13.6445,10.0,0.6563,1022.3389,6.3646,47.8203,197.0,17.0531,20.4488,20.7987,54.1989,1.345,0.1319,63.5366,35.1024,11.0,2.0,16.0,163.0,298.0,278.0,0.2656,15.5625,9.125,-1.7305,11.25,78.9063,-0.5625,-0.75,-4.2656,1636.7188,724.1821,25.5,0.6206,-6.375,8.5938,14.375,0.0128333333333333,5383.0,r
2,0.7300000000000004,8.0,0.8998,176.9912,0.9631,225.0,33.6283,133.0,10.8358,10.293,3.3867,6.0,-9.0469,571.2891,4.0267,66.3717,114.0,7.5408,15.6559,16.6218,43.6,1.8317,0.303,60.0153,32.855,134.0,26.0,25.0,174.0,121.0,288.0,2.332,3.0625,7.75,-2.7031,11.25,99.3438,-5.25,4.25,-5.1563,637.5732,1048.584,24.5,0.4815,2.75,21.0625,73.7969,0.1574166666666666,10207.0,l
3,1.1070000000000002,4.0,0.723,164.8352,1.1126,115.0,68.4066,73.0,11.299,2.1641,11.0898,16.0,-6.6563,606.6284,10.6609,31.5934,249.0,28.6639,45.0295,45.5127,85.3043,1.4661,0.1026,94.2471,54.7022,42.0,2.0,53.0,60.0,349.0,262.0,0.2695,16.4375,8.9375,-2.5234,11.25,95.6406,-8.875,4.625,-6.9219,1673.9502,553.2837,25.5,0.5563,7.1719,-1.2656,14.2813,0.02545,6140.0,r
4,1.4080000000000013,9.0,1.1248,171.9198,0.9701,213.0,38.9685,181.0,12.4183,11.8047,3.8555,7.0,-9.375,534.79,4.554,61.0315,136.0,10.594,15.9971,17.2685,46.0563,2.2939,0.3332,65.2272,36.1813,128.0,12.0,40.0,161.0,163.0,264.0,2.1914,3.5,11.125,-2.7148,11.25,106.9688,-3.8594,7.4219,4.5156,652.4658,1034.5459,24.5,0.4851,2.2344,16.3438,72.0156,0.1687166666666666,10885.0,l
5,1.835,5.0,0.8716,185.4714,1.1126,294.0,8.9783,78.0,15.6381,5.5781,14.6094,12.0,-1.4844,954.6509,2.4014,90.881,29.0,0.4248,14.6532,17.1669,33.3673,1.7793,0.4304,53.3962,28.6307,121.0,4.0,14.0,276.0,24.0,329.0,0.5352,17.3125,10.1875,-0.875,11.25,35.0469,0.1406,8.7344,9.0156,1389.0991,682.4341,25.5,0.5563,10.6406,5.625,-37.5,0.0375833333333333,6868.0,r
6,2.1060000000000016,10.0,1.1283,166.8985,0.9701,229.0,36.2117,182.0,11.5651,10.9063,3.8477,2.0,-9.3125,473.3887,4.2795,63.6996,130.0,9.698,14.2094,15.462,42.8384,2.3036,0.3329,62.0398,34.1471,79.0,34.0,34.0,161.0,183.0,277.0,2.2031,2.75,7.3125,-2.582,11.25,120.7188,-6.7813,0.9063,0.5625,654.2358,1117.3096,24.5,0.4851,-1.0625,30.6094,69.7969,0.18035,11583.0,l
7,2.825000000000001,11.0,1.3005,168.5393,1.0931,227.0,36.236,222.0,12.7253,11.793,4.7813,3.0,-13.2813,566.6504,4.2731,63.764,129.0,8.4938,14.092,15.7492,43.2159,2.6615,0.3898,65.5565,36.3915,87.0,32.0,30.0,165.0,183.0,271.0,2.2031,3.0,7.875,-2.6172,11.0,117.2031,-6.3281,3.0938,2.7188,674.1333,1078.3081,24.5,0.5466,0.7344,28.2813,70.3594,0.1923333333333333,12302.0,l
8,3.463,7.0,1.1006,204.7782,1.1126,250.0,14.6758,62.0,1.0512,0.3359,0.9961,4.0,-2.25,264.6484,2.688,85.3242,43.0,0.934,16.4162,19.757,39.24,2.2493,0.5663,65.2253,36.1801,182.0,133.0,26.0,91.0,52.0,284.0,0.3477,0.9375,0.1875,-0.875,11.5,17.9219,-7.0469,-6.4844,-14.7813,300.415,258.4229,25.5,0.5563,-6.1563,25.9063,14.9844,0.0647166666666666,8496.0,r
9,3.537000000000001,12.0,1.4833,167.1309,1.2232,224.0,37.6045,324.0,11.592,10.9375,3.8398,3.0,-7.3125,377.9297,4.4107,62.3955,135.0,8.3158,13.8637,15.8858,43.7946,3.0438,0.4292,68.8449,38.4902,84.0,31.0,26.0,167.0,183.0,277.0,2.1289,2.5625,6.8125,-2.6055,11.0,121.0625,-4.1875,-2.0938,4.7188,678.833,1065.1855,24.5,0.6116,4.2813,28.2813,72.375,0.2042,13014.0,l
